class	gene	transcript	oracle_umis
utr3	ENSG00000278158.3	-	43
utr3	ENSG00000278743.3	-	272
utr3	ENSG00000278768.5	-	45
utr3	ENSG00000279410.1	-	23
utr3	ENSG00000280402.1	-	56
utr3	ENSG00000285331.2	-	25
utr3	ENSG00000285646.3	-	604
utr3	ENSG00000285803.2	-	24
utr3	ENSG00000285967.2	-	122
utr3	ENSG00000288879.3	-	113
utr3	ENSG00000289169.2	-	39
utr3	ENSG00000289536.1	-	22
utr3	ENSG00000290072.2	-	22
utr3	ENSG00000290418.2	-	138
utr3	ENSG00000290871.2	-	155
utr3	ENSG00000291080.2	-	77
utr3	ENSG00000291178.2	-	243
utr3	ENSG00000293492.2	-	46
utr3	ENSG00000295248.1	-	117
utr3	ENSG00000295914.1	-	95
utr3	ENSG00000297885.1	-	48
utr3	ENSG00000299166.1	-	29
utr3	ENSG00000300592.1	-	47
utr3	ENSG00000302152.1	-	67
utr3	ENSG00000303405.1	-	40
utr3	ENSG00000303901.1	-	20
utr3	ENSG00000304996.1	-	71
utr3	ENSG00000307067.1	-	31
utr3	ENSG00000307289.1	-	60
utr3	ENSG00000309331.1	-	26
utr3	ENSG00000310560.2	-	950
