sample	condition	archive	groups
A	young	../../../runs/post-v1/sez-transcript-end-atlas-r1/donor-A/sez.called.aie	../../results/post-v1-sez-transcript-end-feasibility/groups/donor-A.tsv
B	young	../../../runs/post-v1/sez-transcript-end-atlas-r1/donor-B/sez.called.aie	../../results/post-v1-sez-transcript-end-feasibility/groups/donor-B.tsv
C	young	../../../runs/post-v1/sez-transcript-end-atlas-r1/donor-C/sez.called.aie	../../results/post-v1-sez-transcript-end-feasibility/groups/donor-C.tsv
D	young	../../../runs/post-v1/sez-transcript-end-atlas-r1/donor-D/sez.called.aie	../../results/post-v1-sez-transcript-end-feasibility/groups/donor-D.tsv
E	middle	../../../runs/post-v1/sez-transcript-end-atlas-r1/donor-E/sez.called.aie	../../results/post-v1-sez-transcript-end-feasibility/groups/donor-E.tsv
F	middle	../../../runs/post-v1/sez-transcript-end-atlas-r1/donor-F/sez.called.aie	../../results/post-v1-sez-transcript-end-feasibility/groups/donor-F.tsv
G	middle	../../../runs/post-v1/sez-transcript-end-atlas-r1/donor-G/sez.called.aie	../../results/post-v1-sez-transcript-end-feasibility/groups/donor-G.tsv
H	middle	../../../runs/post-v1/sez-transcript-end-atlas-r1/donor-H/sez.called.aie	../../results/post-v1-sez-transcript-end-feasibility/groups/donor-H.tsv
