sample	condition	archive	cells
A	cohort	../../../runs/post-v1/fnbp1-multidonor-sez-validation-r1/donor-A/fnbp1.called.aie	.
B	cohort	../../../runs/post-v1/fnbp1-multidonor-sez-validation-r1/donor-B/fnbp1.called.aie	.
C	cohort	../../../runs/post-v1/fnbp1-multidonor-sez-validation-r1/donor-C/fnbp1.called.aie	.
D	cohort	../../../runs/post-v1/fnbp1-multidonor-sez-validation-r1/donor-D/fnbp1.called.aie	.
E	cohort	../../../runs/post-v1/fnbp1-multidonor-sez-validation-r1/donor-E/fnbp1.called.aie	.
F	cohort	../../../runs/post-v1/fnbp1-multidonor-sez-validation-r1/donor-F/fnbp1.called.aie	.
G	cohort	../../../runs/post-v1/fnbp1-multidonor-sez-validation-r1/donor-G/fnbp1.called.aie	.
H	cohort	../../../runs/post-v1/fnbp1-multidonor-sez-validation-r1/donor-H/fnbp1.called.aie	.
