extracted: 22156853 molecules, 1834103 edges, 324465 cells, 809069 shapes, 773437 patterns, 19266290 classes (91.5s)
pattern #3 stats: 773437 patterns, 2513974 alt entries, 1159098 distinct (chrom,offset) hops (2.17x hop sharing), 78.2% alts share the anchor's shape
section                 raw         zstd
c299                 308914       120914
c300                 139961        58924
c301                 270296       105921
c302                 224934        94757
c303                 126013        54828
c304                 508725       200071
c305                 267031        99288
c306                 115608        50285
c307                  87187        36674
c308                 272097       112083
c309                1400185       474429
c310                 146654        55433
c311                  22594        10741
c312                 171879        69749
c313                1667994       454502
c314                 327100       130208
c315                 254722       102967
c316                 193051        82510
c317                 380711       152341
c318                 191483        77080
c319                 440398       173641
c320                 118299        47500
c321                 101846        42237
c322                 108678        42240
c323                   6000         3617
c324                 387915       168843
c325                  52094        25032
c326                 626731       312214
c327                 329115       143579
c328                  69534        28096
c329                  66857        29600
c330                  81358        36751
c331                 173801        75019
c332                 460506       179301
c333                 663746       281861
c334                 530277       205474
c335                  98855        42070
c336                 110966        45147
c337                  78336        32821
c338                  69800        28726
c339                  87214        36280
c340                 742574       277305
c341                 257710        98047
c342                 371114       125914
c343                 415823       173380
c344                  60201        31305
c345                 396984       157507
c346                 183061        79181
c347                 161656        67650
c348                  59549        27320
c349                  68428        27952
c350                 194823        82755
c351                  51475        26787
c352                 157524        66591
c353                 219412        88623
c354                 188369        77633
c355                 286149       110982
c356                  40865        18796
c357                 637619       187801
c358                 224924        92833
c359                 154403        62424
c360                  44892        20146
c361                 242448        97436
c362                 300102       114543
c363                 205005        74323
c364                 263987       110932
c365                 110109        46575
c366                 404242       141158
c367                  34880        15851
c368                 162873        62579
c369                  88765        39766
c370                  99837        42227
c371                 113840        45597
c372                1416150       451718
c373                 532084       195066
c374                  66715        25324
c375                 158975        64444
c376                  67931        26389
c377                 163501        68671
c378                 135759        58237
c379                 274061       113870
c380                 309268       122038
c381                 118489        49850
c382                  16841         8573
c383                 419465       162761
c384                 635033       228297
c385                 290133       120994
c386                 423705       157975
c387                   6357         3762
c388                  76447        34460
c389                 942053       290396
c390                  78602        35162
c391                  81058        33981
c392                  28464        12116
c393                 515491       208543
c394                 299356       123013
c395                 123894        66219
c396                  44895        26189
c397                  60983        35803
c398                 155484        69363
c399                 252322        94569
c400                 235195        90787
c401                 148995        61826
c402                 149550        62967
c403                 175117        71582
c404                 341045       132667
c405                 316604       132554
c406                  64202        29242
c407                 119018        49186
c408                 145719        63480
c409                 236574        96606
c410                  21735         9804
c411                 338976       139593
c412                1272681       441681
c413                 620263       249410
c414                1657952       521546
c415                 357651       149454
c416                 270877       100332
c417                 289191       120774
c418                 209931        82777
c419                 308215       129765
c420                 463234       158840
c421                 279625       112989
c422                 250677       103163
c423                 225622        93973
c424                 228264        96075
c425                  61040        27722
c426                 117298        47620
c427                 215595       100157
c428                 169585        76592
c429                   5775         3610
c430                  59245        26255
c431                 279974       114153
c432                  36457        16941
c433                 676615       245044
c434                 618437       251598
c435                1147796       336360
c436                  84890        33440
c437                 264327       117519
c438                 139556        59243
c439                 181498        79711
c440                 345605       131921
c441                 486317       202004
c442                  67410        29560
c443                 174667        72809
c444                 185574        78723
c445                 238546        99433
c446                 110665        46610
c447                 153347        65640
c448                 102724        43626
c449                  90088        38775
c450                1316195       470184
c451                 243735       100177
c452                 610464       214252
c453                 195840        81100
c454                 954337       309837
c455                  43611        19639
c456                  45136        15106
c457                  58920        27236
c458                 333209       130847
c459                  30245        14190
c460                  78628        33911
c461                 505334       202058
c462                  82483        34589
c463                   2143         1446
c464                 227833        93704
c465                1567447       547000
c466                6706434      1795611
c467                 231680       100995
c468                1330977       459223
c469                 307515       126280
c470                 255715        74646
c471                 180179        74077
c472                  49016        21056
c473                 222558        83649
c474                 158389        63146
c475                  79302        33715
c476                 164732        70542
c477                 201544        86837
c478                 199094        69546
c479                1411986       474531
c480                 197838        80359
c481                 111319        46963
c482                 206970        83908
c483                  26214        12984
c484                 418933       154411
c485                 702215       262918
c486                 801020       314431
c487                 396861       143343
c488                  55980        25490
c489                 131432        51103
c490                 182102        78376
c491                 199320        85581
c492                  74436        33552
c493                  37648        18010
c494                 120919        53416
c495                 362577       148505
c496                 567481       224493
c497                 861412       340218
c498                1220773       450193
c499                 153336        63657
c500                 771313       188604
c501                1011678       300242
c502                  56535        24926
c503                 227175        99173
c504                  64076        28260
c505                   5894         3621
c506                 165994        65483
c507                 564622       213887
c508                 181153        72575
c509                 177670        78374
c510                 515589       151111
c511                 520949       211128
c512                 604513       190537
c513                 441376       153365
c514                 982538       382836
c515                 335007       122828
c516                 113755        48214
c517                 109420        47822
c518                 100722        44055
c519                 305838       118502
c520                 917350       305418
c521                 313768       125150
c522                 152974        62502
c523                  74259        33771
c524                 333945       138033
c525                1516934       482963
c526                 501723       196443
c527                  68272        30836
c528                   6377         3692
c529                  21678        10525
c530                  14587         7437
c531                  10623         5774
c532                 277083       110170
c533                 135289        55937
c534                  28208        12245
c535                   9169         5261
c536                   8262         4761
c537                  61984        28076
c538                 232716        96160
c539                  70653        32344
c540                  35413        14773
c541                 286330       103545
c542                 185845        77532
c543                   3696         2363
c544                 563780       226553
c545                 279138       115911
c546                 145388        64267
c547                 401221       171559
c548                 110851        49219
c549                   5571         3410
c550                  67115        29632
c551                 915407       257257
c552                 321525       131520
c553                 215776        90955
c554                 313275       129127
c555                 303430       130160
c556                 499589       193970
c557                 903509       307883
c558                 143787        62019
c559                  51854        23192
c560                  24699        12108
c561                 551569       223456
c562                 336113       135954
c563                 469468       124151
c564                 736203       293046
c565                 881918       275021
c566                    555          373
c567                  94866        47969
c568                  91174        41738
c569                 351901       118697
c570                 387089       137003
c571                  55610        25422
c572                 664708       260669
c573                1312585       336921
c574                 304121       126755
c575                 184938        77905
c576                 418488       165276
c577                 388225       156259
c578                 794183       310855
c579                1871915       577849
c580                 460393       184345
c581                 313467       129411
c582                 442246       161440
c583                 253724       104842
c584                 374271       154842
c585                 197562        79987
c586                 107326        46266
c587                 101646        45756
c588                1683188       597640
c589                 314671       121167
c590                 320390       136060
c591                 316757       143333
c592                1386626       412004
c593                 831887       390699
c594                 288619       117993
c595                1404414       575740
c596                  15507         7344
c597                    130          139
c598                 126687        54198
c599                 176117        73277
c600                 191894        78602
c601                 262275       110574
c602                  62258        22336
c603                 312727       133080
c604                 499154       212846
c605                 302137       127743
c606                 126263        54157
c607                 170755        71559
c608                 465892       170943
c609                2108788       669905
c610                 542236       230056
c611                1172140       443826
c612                1533436       443022
c613                 100766        49410
c614                1241167       456273
c615                 100879        43438
c616                  91796        35787
c617                1755303       585569
c618                 304763       125065
c619                1404252       495050
c620                1159214       418736
c621                 805500       344091
c622                 625130       254674
c623                  22581        11303
c624                 460124       184947
c625                 429579       178727
c626                 731795       296164
c627                 116217        51369
c628                 957589       345928
c629                 581392       228363
c630                 810925       284307
c631                 399457       149686
c632                 384563       120063
c633                 287608       119246
c634                 179985        77841
c635                 206327        91046
c636                 104289        45488
c637                  20937        10877
c638                 171564        70844
c639                  64187        29149
c640                  21466        10511
c641                 173645        75630
c642                 600804       215707
c643                  69678        30207
c644                 187696        82692
c645                 170753        72100
c646                   5574         3465
c647                  53545        23350
c648                  70017        30054
c649                 195977        80901
c650                  11210         5030
c651                1827687       676013
c652                1146330       440059
c653                1431060       521579
c654                1350921       497107
c655                2502768       884011
c656                 225791        92511
c657                  30551        14184
c658                  82664        34828
c659                 636483       254288
c660                1308048       500730
c661                1331485       462927
c662                 879971       340438
c663                3015526      1006024
c664                2077050       705818
c665                 646862       247878
c666                 405337       167487
c667                 440211       158066
c668                 128522        54061
c669                  41080        20365
c670                 139234        61015
c671                 754370       216114
c672                  65261        28833
c673                  78967        36791
c674                1004119       363705
c675                 323585       136473
c676                 142593        60267
c677                 431585       176041
c678                 514723       204483
c679                  93995        40668
c680                 525157       190049
c681                 881325       295280
c682                  38691        16504
c683                 100135        45568
c684                 223525        73858
c685                  96379        41018
c686                  48542        19778
c687                   6471         4199
c688                 218784        76299
c689                 216967        92920
c690                 436502       180367
c691                 268681       114768
c692                 220418        95384
c693                 339744       139458
c694                   7633         4444
c695                   3197         2208
c696                 302253       128608
c697                 561908       234362
c698                 247820       106787
c699                 408773       171436
c700                 398331       128560
c701                1686230       598267
c702                 859560       349348
c703                 283713       119393
c704                 329255       136029
c705                  40295        19757
c706                  19733        10250
c707                  85513        38847
c708                1340489       374616
c709                 201381        86475
c710                 323090       121772
c711                 133463        54810
c712                  41338        20229
c713                  26010        11468
c714                 103402        40848
c715                 209843        86949
c716                 318382       132845
c717                 224177        93722
c718                 152223        69893
c719                  90753        38360
c720                  18247         8842
c721                 117466        50586
c722                 279071       109282
c723                 845021       292965
c724                 384693       144783
c725                  78785        33002
c726                  27869        13721
c727                  12177         6107
c728                  13954         7523
c729                  87621        39572
c730                 519440       160864
c731                 108535        41508
c732                  74356        33236
c733                  11187         6733
c734                1381262       390384
c735                 175600        71468
c736                  63075        27523
c737                  76143        35550
c738                 219068        75935
c739                 114443        49715
c740                  28727        12312
c741                  17834         9314
c742                 117376        52910
c743                1937440       644175
c744                   7637         3538
c745                 778343       291084
c746                  44268        20316
c747                   6957         4012
c748                 119300        51552
c749                  41887        20121
c750                  36419        16773
c751                   8666         5402
c752                   5589         2722
c753               16305009      4020182
c754                   1994         1238
c755                   2104         1370
c756                  10581         5190
c757                   1452         1009
c758                   2220         1405
c759                    233          219
c760                    288          248
c761                    368          303
c762                    173          154
c763                  12127         5803
c764                   5949         3115
c765                 269750        93128
c766                   1892         1294
c767                    571          448
c768                    162          138
c769                     80           89
c770                     41           50
c771                   4151         2312
c772                     33           42
c773                     21           30
c774                     81           90
c775                     48           57
c776                     22           31
c777                     66           75
c778                   8471         4772
c779                    434          370
c780                    232          214
c781                     50           59
c782                     90           85
c783                   4826         2667
c784                    892          661
c785                   5709         2927
c786                    365          313
c787                    279          231
c788                   2343         1578
c789                   7576         4595
c790                    321          263
c791                  19854         7416
c792                    327          257
c793                    108          103
c794                     55           64
c795                    487          375
c796                    573          478
c797                   1139          741
c798                   3417         2276
c799                    385          319
c800                    563          379
c801                    118          113
c802                 113408        39498
c803                   2619         1573
c804                     39           48
c805                     40           49
c806                     85           90
c807                     70           79
c808                     25           34
c809                    140          142
c810                   2841         1908
c811                    922          687
c812                   2954         1993
c813                   1063          729
c814                   1228          761
c815                    304          268
c816                    199          187
c817                    134          135
c818                    195          195
c819                     30           39
c820                     49           58
c821                     24           33
index.chunks           9088         5901
index.junctions       893449       756970
index.jpost          481330         4675
index.cellpost      3035967      1462170
edges               6343958      5518553
TOTAL                          120735238  (43.59 bits/molecule over 22156853 molecules)
wrote runs/archive/d0-c4mb.aie (120776735 bytes)
