extracted: 108747545 molecules, 6693867 edges, 1272230 cells, 2707616 shapes, 2841494 patterns, 91328227 classes (539.5s)
pattern #3 stats: 2841494 patterns, 8932077 alt entries, 4012603 distinct (chrom,offset) hops (2.23x hop sharing), 74.6% alts share the anchor's shape
section                 raw         zstd
c293                 159896        50932
c294                 940671       263366
c295                 188871        57999
c296                 502961       143006
c297                 333268       109005
c298                8176917      2388063
c299                1232472       324528
c300                 446425       134617
c301                 875457       238375
c302                 859331       266763
c303                 454927       144890
c304                2290755       610649
c305                 779839       214526
c306                 525181       169461
c307                 351359       111510
c308                1077145       324091
c309                5909602      1766962
c310                 839561       207759
c311                 106686        35397
c312                 507348       150016
c313                7976410      2134559
c314                1415546       390869
c315                 730906       218546
c316                 803515       249217
c317                1300897       374471
c318                 827560       239867
c319                1920343       575537
c320                 418277       118577
c321                 401083       120978
c322                 477240       143454
c323                  25118        12019
c324                1702489       544712
c325                 162963        60311
c326                3508851      1344664
c327                1318435       434115
c328                 128600        43488
c329                 256351        83497
c330                 371505       112801
c331                 720463       228992
c332                1893712       562156
c333                3016669       962113
c334                2186152       581890
c335                 414439       120727
c336                 516478       137568
c337                 266249        79226
c338                 498963       105154
c339                 287855        85781
c340                3331433       925078
c341                1079357       272193
c342                1899638       471686
c343                2036630       632774
c344                 241158        94371
c345                1678064       470661
c346                 674919       211852
c347                 845505       244675
c348                 249475        86796
c349                 247153        75349
c350                 746857       230763
c351                 203215        83579
c352                 652033       198726
c353                 902166       258885
c354                 551451       167501
c355                1231033       326486
c356                 164998        51888
c357                1349418       329583
c358                 838964       248218
c359                 422849       128553
c360                 163147        52575
c361                 716162       216487
c362                1773669       553343
c363                 946690       249042
c364                 971402       299575
c365                 368245       112174
c366                2408921       746084
c367                 125360        41413
c368                 630908       167305
c369                 373409       121105
c370                 333021       105721
c371                 373802       118100
c372                5893051      1704435
c373                2604002       687008
c374                 291544        77566
c375                 741436       244281
c376                 228784        58102
c377                 658996       206219
c378                 552896       171114
c379                1013591       304229
c380                 710421       206433
c381                 457640       135777
c382                  66160        25504
c383                1877305       582178
c384                2696890       899537
c385                1044901       313924
c386                1033274       295754
c387                  28357        11521
c388                 319749       108536
c389                5137651      1526531
c390                 365355       113663
c391                 251281        76772
c392                 131948        46125
c393                2332036       677671
c394                1080354       321331
c395                 598035       247172
c396                     39           45
c397                 202653        92179
c398                 279228       127237
c399                 770653       235112
c400                 852233       227170
c401                1023516       275555
c402                 519674       160411
c403                 487582       150864
c404                 594628       174903
c405                1159910       362349
c406                1512879       458621
c407                 266277        85670
c408                 405693       119776
c409                 512416       167546
c410                 804422       234480
c411                  63945        21147
c412                1070886       330110
c413                6191699      1911321
c414                2676523       785130
c415                8214346      2444383
c416                1817526       568597
c417                 914227       241120
c418                1129757       352497
c419                 627246       173933
c420                1184630       366225
c421                1586953       430245
c422                 894649       258824
c423                1082284       322595
c424                 850606       253240
c425                 967804       298664
c426                 220585        75728
c427                 451921       127335
c428                 883244       316199
c429                 635753       210873
c430                  23499        11511
c431                 213713        68420
c432                1013833       301535
c433                 218171        67528
c434                2473655       642553
c435                2141129       634288
c436                4886052      1361530
c437                 338134        98525
c438                 979559       321308
c439                 525425       160038
c440                 609513       201427
c441                1160411       319098
c442                1818309       567403
c443                 274987        89175
c444                 695882       203189
c445                 627558       194766
c446                 887815       274101
c447                 530898       152398
c448                 599443       183568
c449                 332474       104105
c450                 341807       107065
c451                6116313      1790446
c452                 971018       315010
c453                3247333       851468
c454                 783133       231611
c455                4178741      1262060
c456                 135550        46518
c457                 187966        41928
c458                 224843        75715
c459                1120261       323093
c460                 108259        38315
c461                 287521        89585
c462                2002054       597794
c463                 249713        76779
c464                  11645         5862
c465                 838766       252314
c466                6223226      1876086
c467               29681742      6914647
c468                 906766       303352
c469                6207996      1806883
c470                 990161       305650
c471                1137359       233989
c472                 606702       185826
c473                 222398        63429
c474                 886269       238404
c475                 684493       186255
c476                 348985       101703
c477                 644485       216618
c478                 760973       243483
c479                 647086       163417
c480                6424131      1868278
c481                1010115       298776
c482                 400548       128025
c483                 754289       221545
c484                 123766        47160
c485                1481685       424113
c486                3112336       910217
c487                2966868       824978
c488                1755796       430489
c489                 185537        64098
c490                 527467       140011
c491                 580553       185306
c492                 787497       240563
c493                 261167        89877
c494                 136503        48633
c495                 415358       137717
c496                1377542       417115
c497                2387446       678501
c498                3787166      1202526
c499                6030429      1863636
c500                 557880       167168
c501                 837475       252795
c502                3880363       863673
c503                 217649        73392
c504                 979087       310779
c505                 174970        59129
c506                  22557        11265
c507                 495892       143423
c508                2681312       706305
c509                 674842       195211
c510                 647311       219043
c511                2477359       510895
c512                1979618       614913
c513                2610533       720937
c514                1150342       329690
c515                4494106      1369532
c516                1994867       680099
c517                 383554       118738
c518                 504142       159080
c519                 478691       151358
c520                1180362       334403
c521                4069259      1246910
c522                1192850       343233
c523                 491733       144041
c524                 258711        88408
c525                1496235       435345
c526                7056132      2175733
c527                1890546       524506
c528                 309846        96810
c529                  21557        10198
c530                  74611        27303
c531                  42601        17011
c532                  36766        15282
c533                1092915       316708
c534                 465417       136207
c535                 111770        35415
c536                  39252        17263
c537                  48442        18645
c538                 216586        72682
c539                 834533       248795
c540                 272191        91587
c541                 159174        46020
c542                1394589       391856
c543                 695462       213854
c544                  22593        10949
c545                2467298       722788
c546                1450513       482279
c547                 502190       168365
c548                2357032       722282
c549                 432158       142734
c550                  25231        12193
c551                 244554        80328
c552                3469775       674232
c553                1477755       428834
c554                 848216       265533
c555                1315872       392771
c556                1295929       401056
c557                2240949       607658
c558                3680162       901456
c559                 517002       166909
c560                 238441        76788
c561                  90724        32933
c562                2346300       717439
c563                1079521       324896
c564                2551175       479049
c565                3739771      1092611
c566                1565079       500349
c567                   2440         1338
c568                 421345       161149
c569                 412823       144806
c570                1429820       401041
c571                 971785       329598
c572                 230720        75206
c573                2503436       728328
c574                5577572      1111556
c575                1023822       320172
c576                 699634       210667
c577                1455995       434985
c578                1403661       418241
c579                3313859      1029648
c580                8602578      2752805
c581                2056531       596310
c582                1138196       343210
c583                1490571       448668
c584                 860538       266900
c585                1315091       410043
c586                 795596       224761
c587                 394502       123314
c588                 422357       142681
c589                8735242      2666442
c590                1022149       326538
c591                1435072       445507
c592                1074636       382655
c593                5768914      1645425
c594                3717615      1378930
c595                 982901       298278
c596                6379923      1973073
c597                  85549        29341
c598                    645          457
c599                 419622       132430
c600                 769221       229170
c601                 723312       227300
c602                1032992       309031
c603                 407557       114012
c604                1260855       416193
c605                1854624       600784
c606                1050954       338515
c607                 400715       128293
c608                 560447       174111
c609                1880154       518802
c610               11265026      3532332
c611                2224329       700869
c612                5332793      1518042
c613                6865164      1797859
c614                 529482       172845
c615                6683197      2028042
c616                 431073       135465
c617                 438366       110046
c618                7792983      2210740
c619                1448761       425525
c620                7463879      2331306
c621                5306951      1497228
c622                3425477      1099879
c623                2758130       811958
c624                  77126        28405
c625                1760324       512860
c626                1690351       527638
c627                3254680       957533
c628                 445013       144947
c629                4127023      1072449
c630                2568805       719009
c631                3295347       875045
c632                1504249       406861
c633                1894228       569211
c634                1088942       326076
c635                 649563       206866
c636                     19           28
