extracted: 22156853 molecules, 1834103 edges, 324465 cells, 809069 shapes, 773437 patterns, 19266290 classes (92.1s)
pattern #3 stats: 773437 patterns, 2513974 alt entries, 1159098 distinct (chrom,offset) hops (2.17x hop sharing), 78.2% alts share the anchor's shape
section                 raw         zstd
c299                 308923       119076
c300                 139970        58209
c301                 270305       104580
c302                 224943        93589
c303                 126022        54225
c304                 508734       196800
c305                 267039        98170
c306                 115617        49260
c307                  87194        36064
c308                 272106       110377
c309                1400196       467864
c310                 146662        55532
c311                  22602        10465
c312                 171888        69087
c313                1668006       491181
c314                 327109       128239
c315                 254731       101760
c316                 193060        81252
c317                 380720       150247
c318                 191491        75929
c319                 440407       170644
c320                 118308        46882
c321                 101854        41784
c322                 108686        41858
c323                   6008         3494
c324                 387924       164113
c325                  52102        24590
c326                 626743       296654
c327                 329124       139285
c328                  69541        27821
c329                  66864        29123
c330                  81365        36360
c331                 173810        74284
c332                 460514       176885
c333                 663756       273325
c334                 530286       202160
c335                  98862        41671
c336                 110974        44529
c337                  78343        32418
c338                  69808        28397
c339                  87221        35821
c340                 742586       275026
c341                 257718        96500
c342                 371123       126805
c343                 415831       169757
c344                  60209        30051
c345                 396993       154831
c346                 183070        77802
c347                 161665        66513
c348                  59557        26783
c349                  68436        27662
c350                 194832        81376
c351                  51483        25550
c352                 157533        65633
c353                 219421        87286
c354                 188378        76567
c355                 286158       109240
c356                  40873        18254
c357                 637631       186649
c358                 224933        91351
c359                 154412        61347
c360                  44900        19873
c361                 242457        96113
c362                 300111       115905
c363                 205012        72611
c364                 263996       109743
c365                 110116        45930
c366                 404254       145190
c367                  34888        15707
c368                 162882        61139
c369                  88773        39433
c370                  99845        41702
c371                 113847        44977
c372                1416158       486723
c373                 532093       191931
c374                  66722        24635
c375                 158984        64906
c376                  67939        26284
c377                 163510        67763
c378                 135768        57600
c379                 274070       112364
c380                 309277       120424
c381                 118498        49095
c382                  16849         8405
c383                 419474       162240
c384                 635042       241573
c385                 290141       118585
c386                 423714       155478
c387                   6365         3679
c388                  76454        33964
c389                 942063       310758
c390                  78609        34543
c391                  81065        33534
c392                  28472        11998
c393                 515499       205462
c394                 299365       121318
c395                 123902        62071
c396                  44902        24638
c397                  60990        33273
c398                 155493        68170
c399                 252331        93104
c400                 235203        89554
c401                 149004        61001
c402                 149559        62340
c403                 175126        70605
c404                 341053       129818
c405                 316612       129956
c406                  64209        28549
c407                 119026        48388
c408                 145728        62866
c409                 236583        95007
c410                  21743         9640
c411                 338985       137441
c412                1272689       467393
c413                 620271       245722
c414                1657964       551732
c415                 357660       147275
c416                 270886        99050
c417                 289200       118933
c418                 209940        81446
c419                 308224       127897
c420                 463243       157313
c421                 279634       111328
c422                 250686       101559
c423                 225631        92580
c424                 228273        94647
c425                  61048        26813
c426                 117306        47058
c427                 215604        95349
c428                 169593        73964
c429                   5783         3495
c430                  59252        25949
c431                 279983       112877
c432                  36465        16743
c433                 676624       241071
c434                 618446       248094
c435                1147808       362811
c436                  84897        32937
c437                 264335       114257
c438                 139565        58477
c439                 181507        78731
c440                 345613       130337
c441                 486326       199305
c442                  67417        29296
c443                 174676        71807
c444                 185583        77767
c445                 238555        97726
c446                 110672        45786
c447                 153356        64623
c448                 102731        43214
c449                  90095        38082
c450                1316203       484962
c451                 243744        99425
c452                 610476       215689
c453                 195849        79769
c454                 954346       328783
c455                  43619        19483
c456                  45144        15067
c457                  58927        26859
c458                 333218       129146
c459                  30253        14009
c460                  78635        33519
c461                 505342       199498
c462                  82490        34194
c463                   2146         1395
c464                 227842        92378
c465                1567456       546918
c466                6706443      1794478
c467                 231689        99618
c468                1330986       462360
c469                 307524       124941
c470                 255722        74897
c471                 180188        73151
c472                  49024        20806
c473                 222566        82243
c474                 158398        62342
c475                  79309        33266
c476                 164741        70778
c477                 201553        85409
c478                 199102        68600
c479                1411998       503724
c480                 197847        78917
c481                 111327        46260
c482                 206979        82756
c483                  26222        12875
c484                 418942       152642
c485                 702223       258021
c486                 801028       309195
c487                 396869       142000
c488                  55988        25067
c489                 131441        50242
c490                 182111        77203
c491                 199329        84149
c492                  74443        33089
c493                  37656        17809
c494                 120928        52821
c495                 362586       146561
c496                 567490       221202
c497                 861421       340228
c498                1220782       461902
c499                 153345        62853
c500                 771325       188282
c501                1011686       295994
c502                  56542        24790
c503                 227184        97947
c504                  64083        27974
c505                   5902         3503
c506                 166003        64738
c507                 564631       210451
c508                 181162        71619
c509                 177679        77496
c510                 515601       148647
c511                 520958       208307
c512                 604521       200746
c513                 441386       153223
c514                 982547       379498
c515                 335019       134603
c516                 113763        47455
c517                 109427        47402
c518                 100729        43560
c519                 305846       116703
c520                 917360       322248
c521                 313777       123765
c522                 152983        61819
c523                  74266        33248
c524                 333954       136244
c525                1516942       516531
c526                 501732       194261
c527                  68279        30691
c528                   6385         3565
c529                  21686        10362
c530                  14595         7306
c531                  10631         5660
c532                 277092       109222
c533                 135298        55418
c534                  28216        12063
c535                   9177         5124
c536                   8270         4628
