sample	astro_nsc_shorter_coding_expected_umis	astro_nsc_full_length_like_expected_umis	astro_nsc_full_length_like_fraction	mature_neuron_shorter_coding_expected_umis	mature_neuron_full_length_like_expected_umis	mature_neuron_full_length_like_fraction	fraction_difference
A	171.0	51.999999	0.23318385306360473	147.0	558.0	0.7914893617021277	0.5583055086385229
B	100.0	23.0	0.18699186991869918	53.000001	115.0	0.6845238054492631	0.49753193553056385
C	419.999999	102.0	0.19540229922490862	36.0	137.0	0.791907514450867	0.5965052152259585
D	611.0	136.0	0.18206157965194109	241.0	1063.9999990000001	0.8153256703565714	0.6332640907046303
E	35.0	16.0	0.3137254901960784	30.0	161.0	0.8429319371727748	0.5292064469766964
F	251.000001	51.0	0.16887417162624446	56.0	165.0	0.746606334841629	0.5777321632153845
G	588.0	171.0	0.22529644268774704	270.0	819.000001	0.7520661159301506	0.5267696732424035
H	84.0	13.0	0.13402061855670103	47.000001	126.999999	0.729885051724138	0.595864433167437
