RPS3A	0.9	0.9
RPS4X	11.6	3.5
RPS4Y1	90.6	16.7
RPS5	10.1	13.7
RPS6	23.4	2.3
RPS7	29.6	7.8
RPS8	8.0	4.7
RPS9	40.8	9.3
RPSA	6.4	4.0
S100A10	51.9	48.9
S100A11	13.4	62.1
S100A4	2.3	0.8
S100A6	3.8	0.3
S100A8	8.9	24.3
S100A9	0.7	11.5
SARAF	1354.8	229.4
SAT1	473.8	27.6
SERF2	432.0	80.3
SH3BGRL3	0.8	0.3
SNHG29	3.7	56.0
SNHG5	1056.0	180.6
SRGN	3156.4	77.6
SRP14	21.8	32.2
SRSF5	70.2	20.6
SRSF7	1256.0	3.8
TLE5	108.0	0.9
TMA7	42.3	8.1
TMSB10	0.2	0.2
TMSB4X	0.3	0.5
TOMM7	26.5	74.3
TPT1	5.2	3.9
TRAC	7.6	1.2
TSC22D3	449.2	41.9
TUBA1A	798.5	26.9
TXNIP	188.0	6.3
TYROBP	22.8	34.5
UBA52	4.7	2.0
UBB	7.2	2.0
UBC	13.0	1.7
UQCRB	35.9	16.4
VIM	94.5	17.2
YBX1	0.3	3.4
YWHAB	116.8	34.1
ZFAS1	1411.9	94.2
ZFP36	0.2	0.4
ZFP36L2	84.3	6.9
